"species","dataSource","countryCode","stateProvince","year","individualCount","coordinateUncertaintyInMeters","taxonRank","gbifID","ID","decimalLongitude","decimalLatitude"
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2674,-68.1414,47.1605
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2451,-69.1662,47.3612
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2666,-69.1384,47.3612
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4947,-68.0828,47.1389
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4400,-68.0178,47.1234
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4607,-69.1939,47.3612
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4635,-69.1371,47.35
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4642,-68.1106,47.1389
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,5027,-69.1889,47.3467
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2639,-68.555,47.2223
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2552,-68.1183,47.1306
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2472,-68.568,47.2113
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2695,-68.0642,47.1055
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4461,-67.9588,47.0862
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2256,-67.8383,47.0505
"Picea rubens","GBIF","CAN",NA,"1967","NA","NA","SPECIES",4512822440,107,-63.8167,46.1333
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2408,-69.1559,47.314
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4972,-69.1384,47.3056
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2165,-68.555,47.1945
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2690,-68.4439,47.1667
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4490,-68.0239,47.08
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4541,-69.1662,47.3056
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4848,-68.4717,47.1667
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2529,-68.4518,47.1575
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2679,-68.3328,47.1389
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2595,-68.3232,47.1326
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4793,-67.9439,47.0556
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2279,-69.2433,47.3114
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4888,-69.1662,47.2957
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2297,-68.3715,47.1351
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2514,-68.2773,47.1112
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4742,-68.1384,47.0834
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4528,-68.1106,47.0834
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2519,-67.9717,47.0556
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4585,-68.6939,47.1945
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4612,-68.4162,47.1389
"Picea rubens","GBIF","CAN",NA,"1953","NA","NA","SPECIES",465857275,173,-61.5489,45.5119
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4488,-68.3328,47.1112
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2398,-68.0828,47.0556
"Picea rubens","GBIF","CAN",NA,"1966","NA","NA","SPECIES",4512895263,86,-69,47.2333
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4516,-68.7527,47.1858
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2178,-68.6662,47.1667
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2661,-68.2495,47.0834
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4827,-68.1384,47.0556
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4998,-69.3107,47.2872
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4985,-69.1384,47.25
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2323,-68.5152,47.126
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4539,-68.305,47.0834
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2629,-68.2515,47.0719
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4770,-68.2084,47.0603
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,5032,-68.0264,47.026
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4970,-67.9639,47.008
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2499,-69.239,47.2677
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,465,-69.0259,47.2196
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4574,-68.1939,47.0556
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4476,-67.8979,46.9875
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2370,-69.2773,47.25
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4723,-69.1856,47.2306
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4647,-69.1248,47.2236
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,3305,-68.8791,47.1766
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,5024,-68.8328,47.1667
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2268,-68.7404,47.1403
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4877,-68.086,47.0099
"Picea rubens","GBIF","CAN",NA,"1956","NA","NA","SPECIES",465857343,148,-61.8761,45.5433
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4515,-69.2996,47.2478
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4617,-69.1662,47.2223
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4720,-69.055,47.1945
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,5036,-68.9162,47.1667
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4965,-68.8232,47.1525
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4811,-68.7773,47.1389
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2267,-68.7495,47.1389
